#N = 1000
#Total number of accessible states = 32767
#Number of visited states, Nset.size() = 970
#
#1: state 	 #2: nb of pts in state 	 #3: Pba state
16:	000000000010000 => 1  	  P = 0.001
20270:	100111100101110 => 1  	  P = 0.001
20330:	100111101101010 => 1  	  P = 0.001
20336:	100111101110000 => 1  	  P = 0.001
20413:	100111110111101 => 1  	  P = 0.001
20456:	100111111101000 => 1  	  P = 0.001
20471:	100111111110111 => 1  	  P = 0.001
20503:	101000000010111 => 1  	  P = 0.001
20546:	101000001000010 => 1  	  P = 0.001
20555:	101000001001011 => 1  	  P = 0.001
20563:	101000001010011 => 1  	  P = 0.001
20620:	101000010001100 => 1  	  P = 0.001
20682:	101000011001010 => 1  	  P = 0.001
20691:	101000011010011 => 1  	  P = 0.001
20692:	101000011010100 => 1  	  P = 0.001
20741:	101000100000101 => 1  	  P = 0.001
20743:	101000100000111 => 1  	  P = 0.001
20800:	101000101000000 => 1  	  P = 0.001
20820:	101000101010100 => 1  	  P = 0.001
20840:	101000101101000 => 1  	  P = 0.001
20853:	101000101110101 => 1  	  P = 0.001
20855:	101000101110111 => 1  	  P = 0.001
20886:	101000110010110 => 1  	  P = 0.001
20907:	101000110101011 => 1  	  P = 0.001
20972:	101000111101100 => 1  	  P = 0.001
20981:	101000111110101 => 1  	  P = 0.001
21034:	101001000101010 => 1  	  P = 0.001
21085:	101001001011101 => 1  	  P = 0.001
21096:	101001001101000 => 1  	  P = 0.001
21099:	101001001101011 => 1  	  P = 0.001
21137:	101001010010001 => 1  	  P = 0.001
21168:	101001010110000 => 1  	  P = 0.001
21174:	101001010110110 => 1  	  P = 0.001
21213:	101001011011101 => 1  	  P = 0.001
21300:	101001100110100 => 1  	  P = 0.001
21309:	101001100111101 => 1  	  P = 0.001
21348:	101001101100100 => 1  	  P = 0.001
21351:	101001101100111 => 1  	  P = 0.001
21384:	101001110001000 => 1  	  P = 0.001
21434:	101001110111010 => 1  	  P = 0.001
21489:	101001111110001 => 1  	  P = 0.001
21516:	101010000001100 => 1  	  P = 0.001
21595:	101010001011011 => 1  	  P = 0.001
21627:	101010001111011 => 1  	  P = 0.001
21648:	101010010010000 => 1  	  P = 0.001
21653:	101010010010101 => 1  	  P = 0.001
21681:	101010010110001 => 1  	  P = 0.001
21717:	101010011010101 => 1  	  P = 0.001
21736:	101010011101000 => 1  	  P = 0.001
21752:	101010011111000 => 1  	  P = 0.001
21817:	101010100111001 => 1  	  P = 0.001
21836:	101010101001100 => 1  	  P = 0.001
21902:	101010110001110 => 1  	  P = 0.001
21905:	101010110010001 => 1  	  P = 0.001
21940:	101010110110100 => 1  	  P = 0.001
21956:	101010111000100 => 2  	  P = 0.002
22016:	101011000000000 => 1  	  P = 0.001
22042:	101011000011010 => 1  	  P = 0.001
22048:	101011000100000 => 1  	  P = 0.001
22057:	101011000101001 => 1  	  P = 0.001
22074:	101011000111010 => 1  	  P = 0.001
22095:	101011001001111 => 1  	  P = 0.001
22212:	101011011000100 => 1  	  P = 0.001
22257:	101011011110001 => 1  	  P = 0.001
22284:	101011100001100 => 1  	  P = 0.001
22307:	101011100100011 => 1  	  P = 0.001
22329:	101011100111001 => 1  	  P = 0.001
22356:	101011101010100 => 1  	  P = 0.001
22380:	101011101101100 => 1  	  P = 0.001
22409:	101011110001001 => 1  	  P = 0.001
22438:	101011110100110 => 1  	  P = 0.001
22485:	101011111010101 => 1  	  P = 0.001
22586:	101100000111010 => 2  	  P = 0.002
22587:	101100000111011 => 1  	  P = 0.001
22674:	101100010010010 => 1  	  P = 0.001
22685:	101100010011101 => 1  	  P = 0.001
22731:	101100011001011 => 1  	  P = 0.001
22788:	101100100000100 => 1  	  P = 0.001
22823:	101100100100111 => 1  	  P = 0.001
22839:	101100100110111 => 2  	  P = 0.002
22846:	101100100111110 => 1  	  P = 0.001
22862:	101100101001110 => 1  	  P = 0.001
22867:	101100101010011 => 1  	  P = 0.001
22918:	101100110000110 => 1  	  P = 0.001
22984:	101100111001000 => 1  	  P = 0.001
23098:	101101000111010 => 1  	  P = 0.001
23125:	101101001010101 => 1  	  P = 0.001
23363:	101101101000011 => 2  	  P = 0.002
23504:	101101111010000 => 1  	  P = 0.001
23510:	101101111010110 => 1  	  P = 0.001
23564:	101110000001100 => 1  	  P = 0.001
23594:	101110000101010 => 1  	  P = 0.001
23597:	101110000101101 => 1  	  P = 0.001
23679:	101110001111111 => 1  	  P = 0.001
23696:	101110010010000 => 1  	  P = 0.001
23768:	101110011011000 => 1  	  P = 0.001
23772:	101110011011100 => 1  	  P = 0.001
23829:	101110100010101 => 1  	  P = 0.001
23861:	101110100110101 => 1  	  P = 0.001
23910:	101110101100110 => 1  	  P = 0.001
23934:	101110101111110 => 1  	  P = 0.001
23955:	101110110010011 => 1  	  P = 0.001
23975:	101110110100111 => 1  	  P = 0.001
23986:	101110110110010 => 1  	  P = 0.001
23989:	101110110110101 => 1  	  P = 0.001
24005:	101110111000101 => 1  	  P = 0.001
24083:	101111000010011 => 1  	  P = 0.001
24091:	101111000011011 => 1  	  P = 0.001
24103:	101111000100111 => 2  	  P = 0.002
24151:	101111001010111 => 1  	  P = 0.001
24229:	101111010100101 => 1  	  P = 0.001
24231:	101111010100111 => 1  	  P = 0.001
24287:	101111011011111 => 1  	  P = 0.001
24313:	101111011111001 => 1  	  P = 0.001
24345:	101111100011001 => 1  	  P = 0.001
24355:	101111100100011 => 1  	  P = 0.001
24359:	101111100100111 => 1  	  P = 0.001
24376:	101111100111000 => 1  	  P = 0.001
24399:	101111101001111 => 1  	  P = 0.001
24400:	101111101010000 => 1  	  P = 0.001
24540:	101111111011100 => 1  	  P = 0.001
24551:	101111111100111 => 1  	  P = 0.001
24553:	101111111101001 => 1  	  P = 0.001
24667:	110000001011011 => 1  	  P = 0.001
24672:	110000001100000 => 1  	  P = 0.001
24679:	110000001100111 => 1  	  P = 0.001
24693:	110000001110101 => 1  	  P = 0.001
24716:	110000010001100 => 1  	  P = 0.001
24776:	110000011001000 => 1  	  P = 0.001
24794:	110000011011010 => 1  	  P = 0.001
24797:	110000011011101 => 1  	  P = 0.001
24838:	110000100000110 => 1  	  P = 0.001
24873:	110000100101001 => 1  	  P = 0.001
24878:	110000100101110 => 1  	  P = 0.001
24885:	110000100110101 => 1  	  P = 0.001
24946:	110000101110010 => 1  	  P = 0.001
24959:	110000101111111 => 1  	  P = 0.001
25007:	110000110101111 => 1  	  P = 0.001
25021:	110000110111101 => 1  	  P = 0.001
25041:	110000111010001 => 1  	  P = 0.001
25048:	110000111011000 => 1  	  P = 0.001
25126:	110001000100110 => 1  	  P = 0.001
25168:	110001001010000 => 1  	  P = 0.001
25169:	110001001010001 => 1  	  P = 0.001
25174:	110001001010110 => 1  	  P = 0.001
25233:	110001010010001 => 1  	  P = 0.001
25255:	110001010100111 => 1  	  P = 0.001
25273:	110001010111001 => 1  	  P = 0.001
25274:	110001010111010 => 1  	  P = 0.001
25290:	110001011001010 => 1  	  P = 0.001
25293:	110001011001101 => 1  	  P = 0.001
25378:	110001100100010 => 2  	  P = 0.002
25417:	110001101001001 => 1  	  P = 0.001
25488:	110001110010000 => 1  	  P = 0.001
25499:	110001110011011 => 1  	  P = 0.001
25516:	110001110101100 => 1  	  P = 0.001
25528:	110001110111000 => 1  	  P = 0.001
25613:	110010000001101 => 1  	  P = 0.001
25676:	110010001001100 => 1  	  P = 0.001
25705:	110010001101001 => 1  	  P = 0.001
25715:	110010001110011 => 1  	  P = 0.001
25727:	110010001111111 => 1  	  P = 0.001
25747:	110010010010011 => 1  	  P = 0.001
25870:	110010100001110 => 1  	  P = 0.001
25881:	110010100011001 => 1  	  P = 0.001
25899:	110010100101011 => 1  	  P = 0.001
25970:	110010101110010 => 1  	  P = 0.001
25981:	110010101111101 => 1  	  P = 0.001
26033:	110010110110001 => 1  	  P = 0.001
26054:	110010111000110 => 1  	  P = 0.001
26067:	110010111010011 => 2  	  P = 0.002
26134:	110011000010110 => 1  	  P = 0.001
26154:	110011000101010 => 1  	  P = 0.001
26184:	110011001001000 => 1  	  P = 0.001
26234:	110011001111010 => 1  	  P = 0.001
26289:	110011010110001 => 2  	  P = 0.002
26305:	110011011000001 => 1  	  P = 0.001
26332:	110011011011100 => 1  	  P = 0.001
26361:	110011011111001 => 1  	  P = 0.001
26379:	110011100001011 => 1  	  P = 0.001
26388:	110011100010100 => 1  	  P = 0.001
26410:	110011100101010 => 1  	  P = 0.001
26525:	110011110011101 => 1  	  P = 0.001
26585:	110011111011001 => 1  	  P = 0.001
26602:	110011111101010 => 1  	  P = 0.001
26654:	110100000011110 => 1  	  P = 0.001
26674:	110100000110010 => 1  	  P = 0.001
26678:	110100000110110 => 1  	  P = 0.001
26890:	110100100001010 => 1  	  P = 0.001
26923:	110100100101011 => 1  	  P = 0.001
26941:	110100100111101 => 1  	  P = 0.001
26959:	110100101001111 => 1  	  P = 0.001
26983:	110100101100111 => 1  	  P = 0.001
26998:	110100101110110 => 1  	  P = 0.001
27075:	110100111000011 => 1  	  P = 0.001
27096:	110100111011000 => 1  	  P = 0.001
27168:	110101000100000 => 1  	  P = 0.001
27177:	110101000101001 => 1  	  P = 0.001
27243:	110101001101011 => 1  	  P = 0.001
27359:	110101011011111 => 1  	  P = 0.001
27383:	110101011110111 => 1  	  P = 0.001
27426:	110101100100010 => 2  	  P = 0.002
27428:	110101100100100 => 1  	  P = 0.001
27449:	110101100111001 => 1  	  P = 0.001
27454:	110101100111110 => 1  	  P = 0.001
27528:	110101110001000 => 1  	  P = 0.001
27550:	110101110011110 => 1  	  P = 0.001
27554:	110101110100010 => 1  	  P = 0.001
27635:	110101111110011 => 1  	  P = 0.001
27642:	110101111111010 => 1  	  P = 0.001
27681:	110110000100001 => 1  	  P = 0.001
27767:	110110001110111 => 1  	  P = 0.001
27768:	110110001111000 => 1  	  P = 0.001
27871:	110110011011111 => 1  	  P = 0.001
27877:	110110011100101 => 1  	  P = 0.001
27936:	110110100100000 => 1  	  P = 0.001
27982:	110110101001110 => 1  	  P = 0.001
28014:	110110101101110 => 1  	  P = 0.001
28186:	110111000011010 => 1  	  P = 0.001
28196:	110111000100100 => 1  	  P = 0.001
28202:	110111000101010 => 1  	  P = 0.001
28203:	110111000101011 => 1  	  P = 0.001
28209:	110111000110001 => 1  	  P = 0.001
28226:	110111001000010 => 1  	  P = 0.001
28230:	110111001000110 => 1  	  P = 0.001
28263:	110111001100111 => 1  	  P = 0.001
28270:	110111001101110 => 1  	  P = 0.001
28311:	110111010010111 => 1  	  P = 0.001
28352:	110111011000000 => 1  	  P = 0.001
28359:	110111011000111 => 1  	  P = 0.001
28380:	110111011011100 => 1  	  P = 0.001
28381:	110111011011101 => 1  	  P = 0.001
28437:	110111100010101 => 1  	  P = 0.001
28449:	110111100100001 => 1  	  P = 0.001
28463:	110111100101111 => 1  	  P = 0.001
28517:	110111101100101 => 1  	  P = 0.001
28536:	110111101111000 => 1  	  P = 0.001
28555:	110111110001011 => 1  	  P = 0.001
28556:	110111110001100 => 1  	  P = 0.001
28585:	110111110101001 => 1  	  P = 0.001
28636:	110111111011100 => 1  	  P = 0.001
28643:	110111111100011 => 1  	  P = 0.001
28654:	110111111101110 => 1  	  P = 0.001
28657:	110111111110001 => 1  	  P = 0.001
28718:	111000000101110 => 1  	  P = 0.001
28725:	111000000110101 => 1  	  P = 0.001
28738:	111000001000010 => 1  	  P = 0.001
28829:	111000010011101 => 1  	  P = 0.001
28831:	111000010011111 => 2  	  P = 0.002
28833:	111000010100001 => 1  	  P = 0.001
28840:	111000010101000 => 1  	  P = 0.001
28859:	111000010111011 => 1  	  P = 0.001
28869:	111000011000101 => 1  	  P = 0.001
28941:	111000100001101 => 1  	  P = 0.001
29024:	111000101100000 => 1  	  P = 0.001
29027:	111000101100011 => 1  	  P = 0.001
29076:	111000110010100 => 1  	  P = 0.001
29085:	111000110011101 => 1  	  P = 0.001
29093:	111000110100101 => 1  	  P = 0.001
29179:	111000111111011 => 1  	  P = 0.001
29198:	111001000001110 => 1  	  P = 0.001
29255:	111001001000111 => 1  	  P = 0.001
29316:	111001010000100 => 2  	  P = 0.002
29343:	111001010011111 => 1  	  P = 0.001
29345:	111001010100001 => 1  	  P = 0.001
29348:	111001010100100 => 1  	  P = 0.001
29367:	111001010110111 => 1  	  P = 0.001
29368:	111001010111000 => 1  	  P = 0.001
29419:	111001011101011 => 1  	  P = 0.001
29460:	111001100010100 => 1  	  P = 0.001
29642:	111001111001010 => 1  	  P = 0.001
29685:	111001111110101 => 1  	  P = 0.001
29800:	111010001101000 => 1  	  P = 0.001
29849:	111010010011001 => 1  	  P = 0.001
29954:	111010100000010 => 1  	  P = 0.001
29989:	111010100100101 => 1  	  P = 0.001
30013:	111010100111101 => 1  	  P = 0.001
30021:	111010101000101 => 1  	  P = 0.001
30037:	111010101010101 => 1  	  P = 0.001
30084:	111010110000100 => 1  	  P = 0.001
30112:	111010110100000 => 1  	  P = 0.001
30132:	111010110110100 => 1  	  P = 0.001
30133:	111010110110101 => 1  	  P = 0.001
30154:	111010111001010 => 1  	  P = 0.001
30167:	111010111010111 => 1  	  P = 0.001
30268:	111011000111100 => 1  	  P = 0.001
30276:	111011001000100 => 2  	  P = 0.002
30306:	111011001100010 => 1  	  P = 0.001
30369:	111011010100001 => 1  	  P = 0.001
30402:	111011011000010 => 1  	  P = 0.001
30462:	111011011111110 => 1  	  P = 0.001
30499:	111011100100011 => 1  	  P = 0.001
30513:	111011100110001 => 1  	  P = 0.001
30556:	111011101011100 => 1  	  P = 0.001
30573:	111011101101101 => 1  	  P = 0.001
30656:	111011111000000 => 1  	  P = 0.001
30657:	111011111000001 => 1  	  P = 0.001
30662:	111011111000110 => 1  	  P = 0.001
30684:	111011111011100 => 1  	  P = 0.001
30688:	111011111100000 => 1  	  P = 0.001
30694:	111011111100110 => 1  	  P = 0.001
30739:	111100000010011 => 1  	  P = 0.001
30759:	111100000100111 => 1  	  P = 0.001
30794:	111100001001010 => 1  	  P = 0.001
30806:	111100001010110 => 1  	  P = 0.001
30827:	111100001101011 => 1  	  P = 0.001
30924:	111100011001100 => 1  	  P = 0.001
30969:	111100011111001 => 1  	  P = 0.001
30981:	111100100000101 => 1  	  P = 0.001
30983:	111100100000111 => 1  	  P = 0.001
30987:	111100100001011 => 1  	  P = 0.001
30988:	111100100001100 => 1  	  P = 0.001
30999:	111100100010111 => 1  	  P = 0.001
31001:	111100100011001 => 1  	  P = 0.001
31012:	111100100100100 => 1  	  P = 0.001
31030:	111100100110110 => 1  	  P = 0.001
31068:	111100101011100 => 1  	  P = 0.001
31100:	111100101111100 => 1  	  P = 0.001
31125:	111100110010101 => 1  	  P = 0.001
31219:	111100111110011 => 1  	  P = 0.001
31240:	111101000001000 => 1  	  P = 0.001
31256:	111101000011000 => 1  	  P = 0.001
31311:	111101001001111 => 1  	  P = 0.001
31362:	111101010000010 => 1  	  P = 0.001
31439:	111101011001111 => 1  	  P = 0.001
31444:	111101011010100 => 1  	  P = 0.001
31445:	111101011010101 => 1  	  P = 0.001
31469:	111101011101101 => 2  	  P = 0.002
31476:	111101011110100 => 1  	  P = 0.001
31482:	111101011111010 => 1  	  P = 0.001
31500:	111101100001100 => 1  	  P = 0.001
31526:	111101100100110 => 1  	  P = 0.001
31575:	111101101010111 => 1  	  P = 0.001
31594:	111101101101010 => 1  	  P = 0.001
31696:	111101111010000 => 1  	  P = 0.001
31697:	111101111010001 => 1  	  P = 0.001
31703:	111101111010111 => 1  	  P = 0.001
31731:	111101111110011 => 1  	  P = 0.001
31822:	111110001001110 => 1  	  P = 0.001
31835:	111110001011011 => 1  	  P = 0.001
31875:	111110010000011 => 1  	  P = 0.001
31896:	111110010011000 => 1  	  P = 0.001
31909:	111110010100101 => 1  	  P = 0.001
31921:	111110010110001 => 1  	  P = 0.001
31945:	111110011001001 => 1  	  P = 0.001
31976:	111110011101000 => 1  	  P = 0.001
32074:	111110101001010 => 1  	  P = 0.001
32080:	111110101010000 => 1  	  P = 0.001
32084:	111110101010100 => 1  	  P = 0.001
32086:	111110101010110 => 1  	  P = 0.001
32228:	111110111100100 => 1  	  P = 0.001
32241:	111110111110001 => 1  	  P = 0.001
32296:	111111000101000 => 1  	  P = 0.001
32309:	111111000110101 => 1  	  P = 0.001
32317:	111111000111101 => 1  	  P = 0.001
32342:	111111001010110 => 1  	  P = 0.001
32375:	111111001110111 => 1  	  P = 0.001
32431:	111111010101111 => 1  	  P = 0.001
32434:	111111010110010 => 1  	  P = 0.001
32450:	111111011000010 => 1  	  P = 0.001
32497:	111111011110001 => 1  	  P = 0.001
32535:	111111100010111 => 1  	  P = 0.001
32556:	111111100101100 => 1  	  P = 0.001
32602:	111111101011010 => 1  	  P = 0.001
32603:	111111101011011 => 1  	  P = 0.001
32635:	111111101111011 => 1  	  P = 0.001
32685:	111111110101101 => 1  	  P = 0.001
32710:	111111111000110 => 1  	  P = 0.001
32725:	111111111010101 => 1  	  P = 0.001
